transaction_id,order_date,global_entity_id,amount_eur,vendor_vertical,has_discount,customer_source_type,is_saved_card,issuer_country_group,card_type,is_3ds_eligible,rule_name,rule_action,risk_score,payment_switch,order_final_status,is_actual_chargeback
1,2026-01-01 00:00:00,FO_EE,42.8,restaurants,False,Existing,True,Local,DEBIT,True,None,none,29.18,0,DELIVERED,0
2,2026-01-01 00:05:00,FO_SE,14.08,supermarket,False,Existing,True,Local,DEBIT,True,None,none,22.32,0,DELIVERED,0
3,2026-01-01 00:10:00,FO_NO,18.83,restaurants,False,New,False,Local,CREDIT,True,None,none,5.63,0,DELIVERED,0
4,2026-01-01 00:15:00,FO_NO,16.0,restaurants,False,Existing,True,International,DEBIT,True,velocity_high_risk_block,hard_block,29.42,0,CANCELLED,0
5,2026-01-01 00:20:00,FO_FI,13.65,restaurants,False,Existing,True,Local,DEBIT,True,foreign_card_review,review,38.37,0,DELIVERED,0
6,2026-01-01 00:25:00,FO_FI,13.01,restaurants,False,Existing,False,Local,DEBIT,True,foreign_card_review,review,40.5,0,CANCELLED,0
7,2026-01-01 00:30:00,FO_EE,16.86,restaurants,True,New,False,Local,DEBIT,True,None,none,39.28,0,DELIVERED,1
8,2026-01-01 00:35:00,FO_FI,27.25,restaurants,True,Existing,True,Local,DEBIT,True,foreign_card_review,review,29.82,1,DELIVERED,0
9,2026-01-01 00:40:00,FO_DK,30.04,restaurants,True,New,False,Local,DEBIT,True,None,none,20.63,0,DELIVERED,0
10,2026-01-01 00:45:00,FO_FI,11.74,restaurants,False,Existing,True,International,CREDIT,True,foreign_card_review,review,35.79,1,DELIVERED,0
11,2026-01-01 00:50:00,FO_DK,8.48,darkstores,False,Existing,True,Local,CREDIT,True,None,none,35.44,0,DELIVERED,0
12,2026-01-01 00:55:00,FO_EE,41.35,supermarket,False,Existing,True,Local,CREDIT,False,None,none,45.99,0,DELIVERED,1
13,2026-01-01 01:00:00,FO_NO,11.35,supermarket,False,Existing,True,International,DEBIT,True,None,none,7.76,0,DELIVERED,0
14,2026-01-01 01:05:00,FO_NO,36.12,darkstores,True,Existing,True,International,DEBIT,True,card_account_age_7d_3ds,review,23.43,0,DELIVERED,0
15,2026-01-01 01:10:00,FO_SE,24.34,supermarket,False,Existing,True,Local,DEBIT,True,card_limit_value_3ds,review,50.82,0,CANCELLED,1
16,2026-01-01 01:15:00,FO_FI,18.01,restaurants,False,Existing,True,Local,DEBIT,True,card_limit_value_3ds,review,55.83,0,DELIVERED,0
17,2026-01-01 01:20:00,FO_DK,19.26,supermarket,False,Existing,False,Local,CREDIT,True,None,none,54.61,0,DELIVERED,0
18,2026-01-01 01:25:00,FO_EE,10.84,supermarket,False,New,False,Local,DEBIT,True,None,none,39.84,0,DELIVERED,1
19,2026-01-01 01:30:00,FO_EE,31.79,restaurants,True,Existing,True,International,DEBIT,False,None,none,50.53,0,DELIVERED,1
20,2026-01-01 01:35:00,FO_DK,33.86,darkstores,False,Existing,True,Local,DEBIT,True,None,none,14.24,0,DELIVERED,0
21,2026-01-01 01:40:00,FO_FI,16.89,restaurants,False,Existing,True,Local,CREDIT,True,foreign_card_review,review,35.17,1,CANCELLED,0
22,2026-01-01 01:45:00,FO_DK,30.17,darkstores,False,New,False,Local,DEBIT,False,None,none,15.51,0,DELIVERED,0
23,2026-01-01 01:50:00,FO_SE,9.2,restaurants,True,Existing,True,Local,CREDIT,True,None,none,21.69,0,DELIVERED,1
24,2026-01-01 01:55:00,FO_SE,15.24,supermarket,False,Existing,True,Local,CREDIT,True,None,none,18.9,0,DELIVERED,0
25,2026-01-01 02:00:00,FO_SE,9.17,supermarket,False,Existing,True,Local,DEBIT,True,None,none,24.79,0,DELIVERED,0
26,2026-01-01 02:05:00,FO_DK,33.93,supermarket,True,New,False,Local,CREDIT,True,None,none,22.29,0,DELIVERED,1
27,2026-01-01 02:10:00,FO_EE,24.68,restaurants,False,Existing,False,Local,DEBIT,True,None,none,23.49,0,DELIVERED,0
28,2026-01-01 02:15:00,FO_FI,30.8,restaurants,False,Existing,True,Local,DEBIT,True,None,none,7.91,0,DELIVERED,0
29,2026-01-01 02:20:00,FO_DK,32.09,restaurants,False,New,False,Local,DEBIT,True,None,none,51.62,0,DELIVERED,1
30,2026-01-01 02:25:00,FO_NO,24.2,restaurants,False,New,False,International,CREDIT,True,card_account_age_7d_3ds,review,23.22,0,DELIVERED,0
31,2026-01-01 02:30:00,FO_NO,15.27,restaurants,False,Existing,True,Local,DEBIT,False,card_account_age_7d_3ds,review,12.49,0,CANCELLED,1
32,2026-01-01 02:35:00,FO_DK,22.34,restaurants,False,Existing,True,Local,DEBIT,False,None,none,54.05,0,DELIVERED,1
33,2026-01-01 02:40:00,FO_EE,12.98,restaurants,False,Existing,True,Local,DEBIT,True,None,none,35.39,0,DELIVERED,0
34,2026-01-01 02:45:00,FO_NO,9.28,restaurants,False,Existing,True,Local,CREDIT,True,None,none,0.0,0,DELIVERED,0
35,2026-01-01 02:50:00,FO_SE,8.67,supermarket,False,Existing,True,Local,DEBIT,True,None,none,12.09,0,DELIVERED,0
36,2026-01-01 02:55:00,FO_FI,11.54,supermarket,False,Existing,True,Local,CREDIT,True,None,none,6.9,0,DELIVERED,0
37,2026-01-01 03:00:00,FO_FI,22.95,restaurants,False,New,False,Local,CREDIT,True,foreign_card_review,review,31.16,0,DELIVERED,0
38,2026-01-01 03:05:00,FO_NO,10.88,restaurants,False,Existing,True,Local,DEBIT,True,None,none,2.4,0,DELIVERED,0
39,2026-01-01 03:10:00,FO_EE,25.97,restaurants,False,New,False,Local,DEBIT,False,None,none,34.82,0,DELIVERED,0
40,2026-01-01 03:15:00,FO_DK,40.01,supermarket,False,Existing,True,Local,DEBIT,True,None,none,47.58,0,DELIVERED,0
41,2026-01-01 03:20:00,FO_DK,22.02,supermarket,True,Existing,True,Local,CREDIT,True,None,none,52.85,0,DELIVERED,1
42,2026-01-01 03:25:00,FO_FI,4.4,supermarket,True,New,False,International,DEBIT,True,card_limit_value_3ds,review,54.04,1,DELIVERED,0
43,2026-01-01 03:30:00,FO_DK,9.69,restaurants,True,Existing,True,Local,CREDIT,True,card_account_age_7d_3ds,review,65.97,0,CANCELLED,1
44,2026-01-01 03:35:00,FO_NO,22.83,restaurants,False,Existing,True,Local,DEBIT,True,velocity_high_risk_block,hard_block,29.23,0,CANCELLED,0
45,2026-01-01 03:40:00,FO_NO,19.76,restaurants,False,Existing,True,Local,DEBIT,True,None,none,0.1,0,DELIVERED,0
